e	え
u	う
i	い
o	お
a	あ
qe	くぇ
qu	く
qi	くぃ
qo	くぉ
qa	くぁ
we	うぇ
wu	う
wi	うぃ
wo	を
wa	わ
ee	ええ
eu	えう
ei	えい
eo	えお
ea	えあ
re	れ
ru	る
ri	り
ro	ろ
ra	ら
te	て
tu	つ
ti	ち
to	と
ta	た
ye	いぇ
yu	ゆ
yi	い
yo	よ
ya	や
ue	うえ
uu	うう
ui	うい
uo	うお
ua	うあ
ie	いえ
iu	いう
ii	いい
io	いお
ia	いあ
oe	おえ
ou	おう
oi	おい
oo	おお
oa	おあ
pe	ぺ
pu	ぷ
pi	ぴ
po	ぽ
pa	ぱ
ae	あえ
au	あう
ai	あい
ao	あお
aa	ああ
se	せ
su	す
si	し
so	そ
sa	さ
de	で
du	づ
di	ぢ
do	ど
da	だ
fe	ふぇ
fu	ふ
fi	ふぃ
fo	ふぉ
fa	ふぁ
ge	げ
gu	ぐ
gi	ぎ
go	ご
ga	が
he	へ
hu	ふ
hi	ひ
ho	ほ
ha	は
je	じぇ
ju	じゅ
ji	じ
jo	じょ
ja	じゃ
ke	け
ku	く
ki	き
ko	こ
ka	か
le	ぇ
lu	ぅ
li	ぃ
lo	ぉ
la	ぁ
ze	ぜ
zu	ず
zi	じ
zo	ぞ
za	ざ
xe	ぇ
xu	ぅ
xi	ぃ
xo	ぉ
xa	ぁ
xn	ん
ce	せ
cu	く
ci	し
co	こ
ca	か
ve	ヴぇ
vu	ヴ
vi	ヴぃ
vo	ヴぉ
va	ヴぁ
be	べ
bu	ぶ
bi	び
bo	ぼ
ba	ば
ne	ね
nu	ぬ
ni	に
no	の
na	な
nn	ん
me	め
mu	む
mi	み
mo	も
ma	ま
qqe	っくぇ
qqu	っく
qqi	っくぃ
qqo	っくぉ
qqa	っくぁ
qwe	くぇ
qwu	くぅ
qwi	くぃ
qwo	くぉ
qwa	くぁ
qee	くぇえ
qeu	くぇう
qei	くぇい
qeo	くぇお
qea	くぇあ
qye	くぇ
qyu	くゅ
qyi	くぃ
qyo	くょ
qya	くゃ
que	くえ
quu	くう
qui	くい
quo	くお
qua	くあ
qie	くぃえ
qiu	くぃう
qii	くぃい
qio	くぃお
qia	くぃあ
qoe	くぉえ
qou	くぉう
qoi	くぉい
qoo	くぉお
qoa	くぉあ
qae	くぁえ
qau	くぁう
qai	くぁい
qao	くぁお
qaa	くぁあ
wwe	っうぇ
wwu	っう
wwi	っうぃ
wwo	っを
wwa	っわ
wee	うぇえ
weu	うぇう
wei	うぇい
weo	うぇお
wea	うぇあ
wye	ゑ
wyi	ゐ
wue	うえ
wuu	うう
wui	うい
wuo	うお
wua	うあ
wie	うぃえ
wiu	うぃう
wii	うぃい
wio	うぃお
wia	うぃあ
woe	をえ
wou	をう
woi	をい
woo	をお
woa	をあ
wae	わえ
wau	わう
wai	わい
wao	わお
waa	わあ
whe	うぇ
whu	う
whi	うぃ
who	うぉ
wha	うぁ
eqe	えくぇ
equ	えく
eqi	えくぃ
eqo	えくぉ
eqa	えくぁ
ewe	えうぇ
ewu	えう
ewi	えうぃ
ewo	えを
ewa	えわ
eee	えええ
eeu	ええう
eei	ええい
eeo	ええお
eea	ええあ
ere	えれ
eru	える
eri	えり
ero	えろ
era	えら
ete	えて
etu	えつ
eti	えち
eto	えと
eta	えた
eye	えいぇ
eyu	えゆ
eyi	えい
eyo	えよ
eya	えや
eue	えうえ
euu	えうう
eui	えうい
euo	えうお
eua	えうあ
eie	えいえ
eiu	えいう
eii	えいい
eio	えいお
eia	えいあ
eoe	えおえ
eou	えおう
eoi	えおい
eoo	えおお
eoa	えおあ
epe	えぺ
epu	えぷ
epi	えぴ
epo	えぽ
epa	えぱ
eae	えあえ
eau	えあう
eai	えあい
eao	えあお
eaa	えああ
ese	えせ
esu	えす
esi	えし
eso	えそ
esa	えさ
ede	えで
edu	えづ
edi	えぢ
edo	えど
eda	えだ
efe	えふぇ
efu	えふ
efi	えふぃ
efo	えふぉ
efa	えふぁ
ege	えげ
egu	えぐ
egi	えぎ
ego	えご
ega	えが
ehe	えへ
ehu	えふ
ehi	えひ
eho	えほ
eha	えは
eje	えじぇ
eju	えじゅ
eji	えじ
ejo	えじょ
eja	えじゃ
eke	えけ
eku	えく
eki	えき
eko	えこ
eka	えか
ele	えぇ
elu	えぅ
eli	えぃ
elo	えぉ
ela	えぁ
eze	えぜ
ezu	えず
ezi	えじ
ezo	えぞ
eza	えざ
exe	えぇ
exu	えぅ
exi	えぃ
exo	えぉ
exa	えぁ
exn	えん
ece	えせ
ecu	えく
eci	えし
eco	えこ
eca	えか
eve	えヴぇ
evu	えヴ
evi	えヴぃ
evo	えヴぉ
eva	えヴぁ
ebe	えべ
ebu	えぶ
ebi	えび
ebo	えぼ
eba	えば
ene	えね
enu	えぬ
eni	えに
eno	えの
ena	えな
enn	えん
eme	えめ
emu	えむ
emi	えみ
emo	えも
ema	えま
ree	れえ
reu	れう
rei	れい
reo	れお
rea	れあ
rre	っれ
rru	っる
rri	っり
rro	っろ
rra	っら
rye	りぇ
ryu	りゅ
ryi	りぃ
ryo	りょ
rya	りゃ
rue	るえ
ruu	るう
rui	るい
ruo	るお
rua	るあ
rie	りえ
riu	りう
rii	りい
rio	りお
ria	りあ
roe	ろえ
rou	ろう
roi	ろい
roo	ろお
roa	ろあ
rae	らえ
rau	らう
rai	らい
rao	らお
raa	らあ
twe	とぇ
twu	とぅ
twi	とぃ
two	とぉ
twa	とぁ
tee	てえ
teu	てう
tei	てい
teo	てお
tea	てあ
tte	って
ttu	っつ
tti	っち
tto	っと
tta	った
tye	ちぇ
tyu	ちゅ
tyi	ちぃ
tyo	ちょ
tya	ちゃ
tue	つえ
tuu	つう
tui	つい
tuo	つお
tua	つあ
tie	ちえ
tiu	ちう
tii	ちい
tio	ちお
tia	ちあ
toe	とえ
tou	とう
toi	とい
too	とお
toa	とあ
tae	たえ
tau	たう
tai	たい
tao	たお
taa	たあ
tse	つぇ
tsu	つ
tsi	つぃ
tso	つぉ
tsa	つぁ
the	てぇ
thu	てゅ
thi	てぃ
tho	てょ
tha	てゃ
yee	いぇえ
yeu	いぇう
yei	いぇい
yeo	いぇお
yea	いぇあ
yye	っいぇ
yyu	っゆ
yyi	っい
yyo	っよ
yya	っや
yue	ゆえ
yuu	ゆう
yui	ゆい
yuo	ゆお
yua	ゆあ
yie	いえ
yiu	いう
yii	いい
yio	いお
yia	いあ
yoe	よえ
you	よう
yoi	よい
yoo	よお
yoa	よあ
yae	やえ
yau	やう
yai	やい
yao	やお
yaa	やあ
uqe	うくぇ
uqu	うく
uqi	うくぃ
uqo	うくぉ
uqa	うくぁ
uwe	ううぇ
uwu	うう
uwi	ううぃ
uwo	うを
uwa	うわ
uee	うええ
ueu	うえう
uei	うえい
ueo	うえお
uea	うえあ
ure	うれ
uru	うる
uri	うり
uro	うろ
ura	うら
ute	うて
utu	うつ
uti	うち
uto	うと
uta	うた
uye	ういぇ
uyu	うゆ
uyi	うい
uyo	うよ
uya	うや
uue	ううえ
uuu	ううう
uui	ううい
uuo	ううお
uua	ううあ
uie	ういえ
uiu	ういう
uii	ういい
uio	ういお
uia	ういあ
uoe	うおえ
uou	うおう
uoi	うおい
uoo	うおお
uoa	うおあ
upe	うぺ
upu	うぷ
upi	うぴ
upo	うぽ
upa	うぱ
uae	うあえ
uau	うあう
uai	うあい
uao	うあお
uaa	うああ
use	うせ
usu	うす
usi	うし
uso	うそ
usa	うさ
ude	うで
udu	うづ
udi	うぢ
udo	うど
uda	うだ
ufe	うふぇ
ufu	うふ
ufi	うふぃ
ufo	うふぉ
ufa	うふぁ
uge	うげ
ugu	うぐ
ugi	うぎ
ugo	うご
uga	うが
uhe	うへ
uhu	うふ
uhi	うひ
uho	うほ
uha	うは
uje	うじぇ
uju	うじゅ
uji	うじ
ujo	うじょ
uja	うじゃ
uke	うけ
uku	うく
uki	うき
uko	うこ
uka	うか
ule	うぇ
ulu	うぅ
uli	うぃ
ulo	うぉ
ula	うぁ
uze	うぜ
uzu	うず
uzi	うじ
uzo	うぞ
uza	うざ
uxe	うぇ
uxu	うぅ
uxi	うぃ
uxo	うぉ
uxa	うぁ
uxn	うん
uce	うせ
ucu	うく
uci	うし
uco	うこ
uca	うか
